Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998474121094,40.0,38.724998474121094,39.70000076293945,28.949687957763672,212976
2002-08-13,39.75,40.38750076293945,38.875,39.162498474121094,28.5577449798584,153576
2002-08-14,39.25,39.25,35.724998474121094,36.462501525878906,26.588865280151367,822776
2002-08-15,36.462501525878906,36.462501525878906,36.462501525878906,36.462501525878906,26.588865280151367,0
2002-08-16,36.275001525878906,38.0,35.75,36.375,26.525075912475586,811856
2002-08-19,36.67499923706055,36.67499923706055,35.13750076293945,35.474998474121094,25.8687744140625,205880
2002-08-20,35.724998474121094,38.724998474121094,35.48749923706055,36.462501525878906,26.588865280151367,3773624
2002-08-21,38.474998474121094,39.20000076293945,36.525001525878906,38.25,27.892337799072266,3011064
2002-08-22,39.51250076293945,41.57500076293945,39.3125,39.900001525878906,29.095544815063477,6732480
2002-08-23,40.25,43.625,39.76250076293945,42.29999923706055,30.845645904541016,4841672
2002-08-26,42.974998474121094,43.25,41.8125,42.150001525878906,30.736257553100586,2576912
2002-08-27,42.5,44.25,40.75,41.099998474121094,29.970590591430664,3694224
2002-08-28,40.974998474121094,41.599998474121094,40.287498474121094,41.13750076293945,29.99793815612793,1674960
2002-08-29,40.88750076293945,41.875,40.75,41.13750076293945,29.99793815612793,1236544
2002-08-30,41.26250076293945,45.125,41.25,44.04999923706055,32.121768951416016,3762384
2002-09-02,44.75,45.974998474121094,44.04999923706055,44.5,32.44991683959961,2389568
2002-09-03,44.75,44.9375,42.0,42.412498474121094,30.927675247192383,986784
2002-09-04,41.875,43.75,41.38750076293945,43.337501525878906,31.602201461791992,1449856
2002-09-05,44.662498474121094,44.86249923706055,42.5,43.07500076293945,31.410789489746094,1061360
2002-09-06,43.25,43.25,41.01250076293945,41.474998474121094,30.244041442871094,907472
2002-09-09,39.5,42.6875,39.5,40.9375,29.852087020874023,880848
2002-09-10,40.9375,40.9375,40.9375,40.9375,29.852087020874023,0
2002-09-11,41.162498474121094,42.70000076293945,41.162498474121094,41.974998474121094,30.6086368560791,635936
2002-09-12,42.48749923706055,43.224998474121094,41.900001525878906,42.1875,30.76360511779785,781968
2002-09-13,40.712501525878906,42.224998474121094,40.63750076293945,40.98749923706055,29.888553619384766,338264
2002-09-16,41.375,41.599998474121094,39.875,40.1875,29.3051815032959,288592
2002-09-17,40.912498474121094,41.625,40.775001525878906,41.36249923706055,30.16201400756836,462952
2002-09-18,41.125,41.25,39.75,40.087501525878906,29.23225975036621,315432
2002-09-19,39.75,41.07500076293945,39.25,39.75,28.986156463623047,490848
2002-09-20,38.32500076293945,39.67499923706055,38.162498474121094,39.099998474121094,28.512155532836914,501072
2002-09-23,39.375,39.474998474121094,38.275001525878906,38.4375,28.029062271118164,248504
2002-09-24,38.29999923706055,38.29999923706055,36.724998474121094,37.13750076293945,27.08108139038086,267912
2002-09-25,36.275001525878906,37.75,36.0,37.42499923706055,27.29074478149414,379544
2002-09-26,38.20000076293945,38.61249923706055,37.75,38.01250076293945,27.719146728515625,178136
2002-09-27,37.88750076293945,39.0,37.88750076293945,38.474998474121094,28.056407928466797,206288
2002-09-30,37.88750076293945,38.474998474121094,36.275001525878906,37.07500076293945,27.03550910949707,202232
